State Id,Date,Number of infected (new),Number of Death (New),Number of Recovery (New)
30.0,3/5/2020,47.74813195567663,8.202615144816829,69.54471299466115
30.0,4/5/2020,73.75367347459246,8.73532178614203,74.31206571321928
30.0,5/5/2020,74.52165332045456,9.848662495308375,73.4512785472089
30.0,6/5/2020,77.36836157967264,11.331938887699717,72.20746908932108
30.0,7/5/2020,80.42518655830054,12.37064560021945,71.43903262785552
30.0,8/5/2020,83.70373336916896,13.165385389179544,70.96978300431495
30.0,9/5/2020,87.21692897478033,13.781134646853186,70.75487655988556
30.0,10/5/2020,90.98627205027037,12.816529091618918,72.21923466902138
30.0,11/5/2020,95.02761647510715,12.330415837415003,73.31958159794873
30.0,12/5/2020,99.35702088001972,12.190941235506106,74.2012718629436
30.0,13/5/2020,103.99107523055432,11.494153250052726,75.78037975399386
30.0,14/5/2020,108.94719051045172,10.442152143234392,77.86602879129823
30.0,15/5/2020,107.71644885788805,11.107842188608045,73.61229445929952
30.0,16/5/2020,111.94039026267001,11.369376085807612,73.85647679451189
30.0,17/5/2020,117.26848080016543,12.067415869259705,74.38124147063156
30.0,18/5/2020,122.98839156601207,10.154984567935866,77.69428291710771
30.0,19/5/2020,129.12579777493147,9.697670884577388,79.74106824573063
30.0,20/5/2020,135.70887806598057,9.438825983040196,81.78987175505296
30.0,21/5/2020,142.7685719969613,9.393534296538046,83.83793195565092
30.0,22/5/2020,150.3388481657007,9.354045124539025,86.10614554207535
30.0,23/5/2020,158.4569897132469,9.32175369565622,88.60721314931479
30.0,24/5/2020,167.1639008014463,9.297867865055718,91.35510298324009
30.0,25/5/2020,176.50443835451097,9.283481382788814,94.36511350700874
30.0,26/5/2020,186.52777283651585,9.279611853629142,97.65397882969478
30.0,27/5/2020,177.6142564214574,9.287228093841112,93.44309527078782
30.0,28/5/2020,179.92145501197047,9.30726644129535,94.50871296558981
30.0,29/5/2020,186.6872924874101,9.34064336716154,97.462425369161
30.0,30/5/2020,193.72805065788268,9.388265316732639,100.56004268525642
30.0,31/5/2020,201.05162867796977,9.451037042401577,103.80395431431931
30.0,1/6/2020,208.66677148546523,9.526655693340107,107.20034271398538
30.0,2/6/2020,216.58303412282476,9.617719538783172,110.75099556334814
30.0,3/6/2020,224.81066731997996,9.72533620146474,114.45960474645166
30.0,4/6/2020,233.36061382507341,9.850361326147812,118.33049659242667
30.0,5/6/2020,242.24448464640136,9.99371898180491,122.36828004845464
30.0,6/6/2020,251.47455524817497,10.156402490866295,126.57782982212154
30.0,7/6/2020,261.0637725575134,10.339477534925312,130.96427658232722
30.0,8/6/2020,267.78717776542913,10.544087143006244,133.6304539889572
30.0,9/6/2020,275.16550813055983,10.771458279894365,136.81410459290788
30.0,10/6/2020,285.0458910146712,11.02290983502686,141.4766295264931
30.0,11/6/2020,295.2781400259837,11.29986188200962,146.3066170307526
30.0,12/6/2020,305.87441960471824,11.60384613420067,151.3082725597267
30.0,13/6/2020,316.8474689120513,11.915716514640767,156.50686084866808
30.0,14/6/2020,328.2105740310153,12.242838887985972,161.90148460833845
30.0,15/6/2020,339.9775222410217,12.588805532266738,167.49533355513347
30.0,16/6/2020,352.16261891484373,12.953493564792648,173.29562417768457
30.0,17/6/2020,364.78074795762404,13.336976671382606,179.30971036513398
30.0,18/6/2020,377.8472907548912,13.73947924458989,185.54508323683277
30.0,19/6/2020,391.37820678334083,14.16134295565275,192.0094400011804
30.0,20/6/2020,405.3899403006044,14.603002326833469,198.71065764845628
30.0,21/6/2020,419.8996469576814,15.064967161385976,205.65692380784597
30.0,22/6/2020,434.92500304670557,15.547809984857764,212.85664981387626
30.0,23/6/2020,450.4843300043294,16.052157220487686,220.31854179712292
30.0,24/6/2020,466.59661946154483,16.57868314232649,228.0516185994748
30.0,25/6/2020,483.28143595686015,17.12566813888317,236.06760286767258
30.0,26/6/2020,500.5592564055587,17.693304586435275,244.37678893624616
30.0,27/6/2020,518.4508727841385,18.283554400067988,252.9878781865993
30.0,28/6/2020,536.9782795936198,18.896996533612135,261.9115873968555
30.0,29/6/2020,556.1639702609909,19.534276836586848,271.1588372527725
30.0,30/6/2020,562.1763013001646,20.196098400856727,273.5447191280489
30.0,1/7/2020,572.8893238195378,20.88321486377732,278.9221904376775
30.0,2/7/2020,590.8743657964022,21.596425788710725,288.1668769484432
30.0,3/7/2020,923.1928062235002,22.336573656696274,299.68681295871227
30.0,4/7/2020,1035.9612266504282,23.10454212817082,315.7945941437681
30.0,5/7/2020,1164.9384209768486,23.901254941021286,335.75844220597946
30.0,6/7/2020,1311.6604451786952,24.72767558379455,359.817232465529
30.0,7/7/2020,1371.2478652703812,25.58480719132988,390.36918246590517
30.0,8/7/2020,999.4353323173564,26.473693246215127,430.35960602084333
30.0,9/7/2020,1021.3246712757391,27.395418088428684,455.6379947140319
30.0,10/7/2020,1041.6178931889845,28.35110786027982,479.6329414075888
30.0,11/7/2020,1060.853173147347,29.341931624496418,502.633227328144
30.0,12/7/2020,1079.4126938038116,30.369102356813016,524.8485989818587
30.0,13/7/2020,1097.568265239428,31.433878741136844,546.4328762901052
30.0,14/7/2020,1115.5134838763352,32.537565710512624,567.5001087541275
30.0,15/7/2020,1133.3866278882215,33.68151695339136,588.136138819518
30.0,16/7/2020,1151.2868190580994,34.867135913971396,608.4067118547157
30.0,17/7/2020,1169.2854111863232,36.08122642425026,628.3777921817183
30.0,18/7/2020,1187.4341316686948,37.32748461895138,648.0881669543024
30.0,19/7/2020,1205.7709095604332,38.612907682693766,667.566003883022
30.0,20/7/2020,1224.3237589125565,40.142445838884555,686.6360135275191
30.0,21/7/2020,1243.113729225377,42.12216843372127,705.1178083629568
30.0,22/7/2020,1262.157038869318,44.56619503064147,723.0200895486385
30.0,23/7/2020,1281.4663831488833,47.502395003733255,740.3355206111871
30.0,24/7/2020,1301.0520443321402,50.95764471116115,757.0560794232807
30.0,25/7/2020,1320.9225495952162,54.434543554061456,773.6966464779347
30.0,26/7/2020,1341.085223950351,57.705451698699775,790.5012654616451
30.0,27/7/2020,1361.5466290700351,60.82071823858915,807.4351879931777
30.0,28/7/2020,1382.312675325829,63.81645736996673,824.4770891958016
30.0,29/7/2020,1403.3889012239235,66.71878037459295,841.6150379938425
30.0,30/7/2020,1424.7805830413272,69.54676514254419,858.8435852583261
30.0,31/7/2020,1446.4928272742654,72.31453991098962,876.1617414691457
30.0,1/8/2020,1468.5306377449597,75.03274400325206,893.5715643876578
30.0,2/8/2020,1490.8989629857717,77.70955187435189,911.0771739125302
30.0,3/8/2020,1513.602730240709,80.35139089408935,928.6840664502762
30.0,4/8/2020,1536.6468698999815,82.96344427800747,946.3986391692383
30.0,5/8/2020,1560.036390299425,85.55000344296883,964.2279105969747
30.0,6/8/2020,1583.7761058573924,88.11471533335782,982.1790473258887
30.0,7/8/2020,1607.8712129715605,90.66075587501328,1000.2597019944857
30.0,8/8/2020,1632.3267330811032,93.1909517887558,1018.477416534019
30.0,9/8/2020,1657.1477980890013,95.7078665527738,1036.8397975784387
30.0,10/8/2020,1682.3395988465927,98.21386108921818,1055.354421576292
30.0,11/8/2020,1707.9073872743938,100.71113689469288,1074.0288051416944
30.0,12/8/2020,1733.856479309583,103.20176691845694,1092.870387474999
30.0,13/8/2020,1760.1922560985768,105.68771780205296,1111.8865200607963
30.0,14/8/2020,1786.9201665161818,108.1708661996207,1131.0844629531377
,15/8/2020,1814.0457275829503,110.65301086139506,1150.4713832211855
31.0,14/3/2020,30.0,0.0,0.0
