State id,Date,Simulated total infected,Simulated total death,Simulated total recovery
7.0,23/3/2020,185.9596523602208,0.0,7.927840051501866
7.0,24/3/2020,186.44615429913463,0.0,5.521318393479527
7.0,25/3/2020,187.06603074787446,0.0,3.1128231571562073
7.0,26/3/2020,187.44864464331408,0.0,3.2497547555970434
7.0,27/3/2020,152.43927579473646,0.0,3.427814334932135
7.0,28/3/2020,150.6947617666788,0.0,3.6727854750017115
7.0,29/3/2020,148.9098648464513,0.0,3.5512213524457925
7.0,30/3/2020,143.07595679883508,0.0,5.832777608701321
7.0,31/3/2020,128.3378620589076,0.03996714593180601,11.231020706911425
7.0,1/4/2020,131.5104357305515,0.09729400748553368,20.625946902044724
7.0,2/4/2020,147.23624026617162,0.21033354524123804,38.0213314723226
7.0,3/4/2020,181.9080564264588,0.46921047200043986,70.35546586089836
7.0,4/4/2020,245.13163331366908,1.006287344655378,127.55068068805413
7.0,5/4/2020,362.7648065757746,1.532674130303087,237.24191321899775
7.0,6/4/2020,580.0845036320151,1.9219246053852317,450.4751350906869
7.0,7/4/2020,979.4032115694536,2.268480384557664,869.0028753699219
7.0,8/4/2020,1708.0792052365302,2.5839368292656237,1695.7078195663435
7.0,9/4/2020,2975.459413855352,2.9219083037778604,3275.5088704215786
7.0,10/4/2020,5227.840317869108,3.2830896905912326,6386.026704303522
7.0,11/4/2020,9093.60654841106,3.6668820246868012,12399.37904662509
7.0,12/4/2020,15512.886186788017,4.072975690917341,23861.459680364787
7.0,13/4/2020,25449.00126755347,4.3612433887963045,45062.061537363195
7.0,14/4/2020,38444.881919967986,4.626333554731138,81839.21914814337
7.0,15/4/2020,48320.49173517385,4.911855740841157,138224.19678689138
7.0,16/4/2020,34573.69474540024,5.2350499682298635,204615.30083417817
7.0,17/4/2020,31452.858970177167,5.575976696961789,240320.48128305702
7.0,18/4/2020,24285.767267398038,5.930419749490276,200442.82035836985
7.0,19/4/2020,29872.961431691732,6.373671605190253,201605.9960332038
7.0,20/4/2020,37394.17120151347,6.998099477146257,202835.58656018856
7.0,21/4/2020,47447.392706772196,7.951246448854995,204202.91544936955
7.0,22/4/2020,60819.91096399603,9.512536733450702,205791.96995648745
7.0,23/4/2020,78545.86153137709,12.227213561841392,207705.33405221681
